Mx,My,Mz,M_mag,km,label
20.76538,71.98975,27.75879,79.90166164649519,1,Closed
20.06104,72.14478,26.55396,79.45078601758198,1,Closed
19.64844,71.97998,25.6958,78.91421198284881,0,Open
19.36401,71.69678,24.83398,78.30785214963376,0,Open
18.93921,71.57593,23.94897,77.81619750957958,0,Open
19.00391,71.18286,23.45093,77.3181367528512,0,Open
19.07227,71.04492,23.26416,77.15149565150958,0,Open
19.06616,71.02051,23.22998,77.11720475098991,0,Open
19.05518,70.96191,23.18604,77.04729071526201,0,Open
19.0271,70.93262,23.14575,77.00125231148452,0,Open
19.03442,70.9314,23.13354,76.99826831577448,0,Open
19.03564,70.94849,23.27271,77.05623176767601,0,Open
19.02832,70.97412,23.13599,77.03685290221102,0,Open
18.98193,71.0791,23.09692,77.11043922077802,0,Open
19.01367,71.07788,23.03589,77.09887742539057,0,Open
18.94165,71.08398,23.06519,77.09553363910908,0,Open
18.93799,71.09863,23.27026,77.1697327556899,0,Open
18.90503,71.00098,23.32397,77.08791667195449,0,Open
18.80981,70.99976,23.39966,77.08643823922142,0,Open
18.77563,71.03271,23.46558,77.12848771094504,0,Open
18.74268,71.02417,23.51807,77.1285964756017,0,Open
18.69141,71.10718,23.48999,77.18406238039431,0,Open
18.6731,71.28784,23.68164,77.4045274422963,0,Open
18.56689,71.63452,24.04907,77.81125643354822,0,Open
19.13818,71.49292,25.13916,78.16319408356084,0,Open
19.5813,71.5564,26.1145,78.64930260911407,0,Open
19.74976,71.82495,26.72363,79.13930036926659,0,Open
20.04761,72.13867,27.44507,79.74412983653343,1,Closed
20.90576,71.83716,28.479,80.05424285472445,1,Closed
21.38306,71.89453,29.48975,80.59593075302872,1,Closed
22.14722,71.62842,30.50781,80.94353820053149,1,Closed
22.73926,71.57715,31.6333,81.4925028230211,1,Closed
23.35327,71.27197,32.60498,81.78113259287987,1,Closed
24.18945,70.68115,33.3313,81.80421759490766,1,Closed
24.19189,70.77026,33.36304,81.89486968230244,1,Closed
24.33716,70.5835,33.45825,81.81553839080998,1,Closed
24.7998,70.1416,33.86719,81.74264914410408,1,Closed
25.19531,69.78516,34.0564,81.63706623330913,1,Closed
24.98657,70.05371,34.021,81.78801505189497,1,Closed
24.9646,70.07568,33.90747,81.75297366104368,1,Closed
24.20166,70.75806,33.40576,81.90462870251473,1,Closed
23.58643,71.00342,32.37427,81.5223815272481,1,Closed
23.03223,71.30371,31.30737,81.20870701380424,1,Closed
22.33887,71.50513,30.21973,80.7789626726334,1,Closed
21.75293,71.63452,29.01733,80.29134361526278,1,Closed
21.25977,71.74072,28.03711,79.90487008764484,1,Closed
20.59326,71.89087,26.80664,79.44164836453295,1,Closed
19.90601,72.02637,25.75684,79.04088825590587,0,Open
19.37988,72.04712,24.58374,78.55397839381784,0,Open
18.96851,71.9751,23.53149,78.0637586415758,0,Open
18.95264,71.55029,22.81982,77.45573411236963,0,Open
18.95386,71.25122,22.6001,77.11517153192361,0,Open
18.89771,71.10596,22.60376,76.96824641956772,0,Open
18.94653,71.09375,22.57446,76.9603698821348,0,Open
18.98071,71.02173,22.64771,76.92380809958058,0,Open
18.92944,71.05347,22.5415,76.90928760562342,0,Open
18.94653,71.08765,22.52197,76.93935348210498,0,Open
18.95142,71.06323,22.51709,76.91656726686001,0,Open
18.9563,71.06445,22.63428,76.9532844952761,0,Open
19.02832,71.02905,22.54517,76.91220706918895,0,Open
19.11987,71.05225,22.65137,76.98750691999514,0,Open
19.17847,71.073,22.64526,77.01943158066345,0,Open
19.18945,71.09863,22.54395,77.0161013086348,0,Open
19.14307,71.13281,22.51709,77.02826188866722,0,Open
19.13208,71.14014,22.4585,77.01519477736845,0,Open
19.0918,71.14502,22.49268,77.01968158609071,0,Open
19.16016,71.12671,22.58545,77.04688934896853,0,Open
19.17603,71.12061,22.67822,77.07245263841939,0,Open
19.104,71.18286,22.78442,77.14332225485236,0,Open
19.04785,71.2146,22.89551,77.19160719237941,0,Open
18.93555,71.25488,23.03833,77.24362515318529,0,Open
18.89893,71.34644,23.04321,77.32058964417304,0,Open
18.85742,71.41846,23.07129,77.38529020487097,0,Open
18.7561,71.56006,23.13477,77.51032871409137,0,Open
18.67554,71.79321,23.30566,77.75727994491128,0,Open
18.59497,72.1106,23.53027,78.09856047286532,0,Open
18.52051,72.51343,23.84766,78.54882372448743,0,Open
18.45703,72.99194,24.28833,79.11010198181646,0,Open
18.59009,73.43018,24.83276,79.71354182482484,1,Closed
19.04053,73.48511,25.84961,80.19230331861718,1,Closed
