Mx,My,Mz,M_mag,km,label
15.6665,70.34912,18.40332,74.38494534545818,0,Closed
15.62012,70.30029,18.42407,74.33414611242534,0,Closed
15.62866,70.20996,18.44604,74.2559754382016,0,Closed
15.71411,70.10742,18.45093,74.17830147700472,1,Open
15.6958,69.97925,18.47534,74.05937993473952,1,Open
15.73486,69.93286,18.53638,74.03909852573571,1,Open
15.74585,69.92554,18.52417,74.03146500443579,1,Open
15.77515,69.9707,18.62061,74.10452977237355,1,Open
15.77271,70.03418,18.77441,74.20271706524365,1,Open
15.74585,70.04883,18.71704,74.1963473693483,1,Open
15.76172,70.07446,18.72681,74.22637788836325,1,Open
15.85693,70.08789,18.84399,74.28896629242529,0,Closed
15.99854,70.13794,18.88672,74.37736283260922,0,Closed
16.05957,70.21484,19.03198,74.49999870826106,0,Closed
16.1084,70.34668,18.9978,74.62608352595224,0,Closed
16.16577,70.33691,18.9856,74.62617526981401,0,Closed
16.23047,70.33936,19.03564,74.6552698196189,0,Closed
16.30005,70.31738,18.98926,74.63790963990417,0,Closed
16.31714,70.27222,18.77075,74.5437791976668,0,Closed
16.34644,70.30884,18.78052,74.58717727793163,0,Closed
16.32813,70.26611,18.68896,74.51987164314362,0,Closed
16.31226,70.28687,18.5791,74.50850204852127,0,Closed
16.19385,70.34302,18.60229,74.54144104984152,0,Closed
16.17065,70.34424,18.39844,74.48694259421379,0,Closed
16.15601,70.31494,18.34839,74.44374293327681,0,Closed
16.14502,70.27588,18.29468,74.39123803834158,0,Closed
16.08276,70.20752,18.28247,74.31015908386215,0,Closed
16.04126,70.18188,18.37158,74.29894517702388,0,Closed
16.02417,70.25269,18.47534,74.3878529367571,0,Closed
15.99609,70.21118,18.48389,74.34473002044327,0,Closed
16.01196,70.24414,18.64746,74.42009024337985,0,Closed
15.94116,70.20508,18.72192,74.38672010808381,0,Closed
15.90088,70.16235,18.75122,74.3451517839953,0,Closed
15.85327,70.15503,18.8623,74.35617503128977,0,Closed
15.81787,70.19531,18.98682,74.41831690548638,0,Closed
15.76416,70.32471,19.19067,74.58119999127528,0,Closed
15.78979,70.35156,19.20532,74.61570732077865,0,Closed
15.79834,70.37476,19.21753,74.64253379350207,0,Closed
15.80444,70.30151,19.2688,74.58799692600479,0,Closed
15.86304,70.29175,19.31396,74.60291687987608,0,Closed
15.84229,70.23438,19.3689,74.55870555232634,0,Closed
15.90698,70.27588,19.41284,74.62298358656267,0,Closed
15.95581,70.24658,19.46899,74.62044924866507,0,Closed
15.93872,70.28076,19.37988,74.62578488853836,0,Closed
15.94971,70.25635,19.35669,74.59912474126422,0,Closed
15.95825,70.25269,19.29932,74.58263838026247,0,Closed
